;AAPL;AMZN;GOOGL
28/01/2021;133.73153686523438;161.88099670410156;92.10761260986328
29/01/2021;128.7272186279297;160.30999755859375;90.82329559326172
01/02/2021;130.85379028320312;167.1439971923828;94.08921813964844
02/02/2021;131.68296813964844;169.0;95.38394927978516
03/02/2021;130.65870666503906;165.62649536132812;102.33029174804688
04/02/2021;134.024169921875;166.5500030517578;102.06935119628906
05/02/2021;133.6089630126953;167.6074981689453;103.81886291503906
08/02/2021;133.7555389404297;166.14700317382812;103.60465240478516
09/02/2021;132.87625122070312;165.25;103.15087127685547
10/02/2021;132.2705535888672;164.32899475097656;103.70206451416016
11/02/2021;132.0165557861328;163.10650634765625;103.81488037109375
12/02/2021;132.25100708007812;163.885498046875;104.12702178955078
16/02/2021;130.12127685546875;163.44749450683594;104.90585327148438
17/02/2021;127.82538604736328;165.4320068359375;105.29948425292969
18/02/2021;126.72142791748047;166.4114990234375;104.66279602050781
19/02/2021;126.87773132324219;162.4949951171875;103.81787109375
22/02/2021;123.09689331054688;159.03700256347656;102.10067749023438
23/02/2021;122.96012115478516;159.72500610351562;102.39192199707031
24/02/2021;122.46186828613281;157.97650146484375;103.5693588256836
25/02/2021;118.20232391357422;152.85800170898438;100.19658660888672
26/02/2021;118.46611785888672;154.64649963378906;100.49281311035156
01/03/2021;124.84564971923828;157.3070068359375;102.86608123779297
02/03/2021;122.23719787597656;154.72650146484375;102.6086196899414
03/03/2021;119.24767303466797;150.25;99.97093963623047
04/03/2021;117.36213684082031;148.8784942626953;101.0902328491211
05/03/2021;118.62242126464844;150.0229949951172;104.22840881347656
08/03/2021;113.67902374267578;147.59750366210938;99.776611328125
09/03/2021;118.3000259399414;153.1425018310547;101.40980529785156
10/03/2021;117.21561431884766;152.8820037841797;101.20255279541016
11/03/2021;119.14998626708984;155.67950439453125;104.40087127685547
12/03/2021;118.24140167236328;154.47450256347656;101.88894653320312
15/03/2021;121.13320922851562;154.08399963378906;102.10961151123047
16/03/2021;122.67682647705078;154.59300231933594;103.57333374023438
